country,n_pop,n_gdpcap,n_rknacapita,reason
Albania,0,0,0,No pop in pre
Algeria,0,0,0,No pop in pre
Angola,0,0,0,No pop in pre
Anguilla,0,0,0,No pop in pre
Antigua and Barbuda,0,0,0,No pop in pre
Armenia,0,0,0,No pop in pre
Aruba,0,0,0,No pop in pre
Azerbaijan,0,0,0,No pop in pre
Bahamas,0,0,0,No pop in pre
Bahrain,0,0,0,No pop in pre
Bangladesh,0,0,0,No pop in pre
Barbados,0,0,0,No pop in pre
Belarus,0,0,0,No pop in pre
Belize,0,0,0,No pop in pre
Benin,0,0,0,No pop in pre
Bermuda,0,0,0,No pop in pre
Bhutan,0,0,0,No pop in pre
Bosnia and Herzegovina,0,0,0,No pop in pre
Botswana,0,0,0,No pop in pre
British Virgin Islands,0,0,0,No pop in pre
Brunei Darussalam,0,0,0,No pop in pre
Bulgaria,0,0,0,No pop in pre
Burkina Faso,0,0,0,No pop in pre
Burundi,0,0,0,No pop in pre
Cabo Verde,0,0,0,No pop in pre
Cambodia,0,0,0,No pop in pre
Cameroon,0,0,0,No pop in pre
Cayman Islands,0,0,0,No pop in pre
Central African Republic,0,0,0,No pop in pre
Chad,0,0,0,No pop in pre
"China, Hong Kong SAR",0,0,0,No pop in pre
"China, Macao SAR",0,0,0,No pop in pre
Comoros,0,0,0,No pop in pre
Congo,0,0,0,No pop in pre
Cote d'Ivoire,0,0,0,No pop in pre
Croatia,0,0,0,No pop in pre
Curacao,0,0,0,No pop in pre
Czech Republic,0,0,0,No pop in pre
Djibouti,0,0,0,No pop in pre
Dominica,0,0,0,No pop in pre
Equatorial Guinea,0,0,0,No pop in pre
Estonia,0,0,0,No pop in pre
Eswatini,0,0,0,No pop in pre
Fiji,0,0,0,No pop in pre
Gabon,0,0,0,No pop in pre
Gambia,0,0,0,No pop in pre
Georgia,0,0,0,No pop in pre
Grenada,0,0,0,No pop in pre
Guinea,0,0,0,No pop in pre
Guinea-Bissau,0,0,0,No pop in pre
Guyana,0,0,0,No pop in pre
Haiti,0,0,0,No pop in pre
Hungary,0,0,0,No pop in pre
Indonesia,0,0,0,No pop in pre
Iraq,0,0,0,No pop in pre
Kazakhstan,0,0,0,No pop in pre
Kuwait,0,0,0,No pop in pre
Kyrgyzstan,0,0,0,No pop in pre
Lao People's DR,0,0,0,No pop in pre
Latvia,0,0,0,No pop in pre
Lebanon,0,0,0,No pop in pre
Lesotho,0,0,0,No pop in pre
Liberia,0,0,0,No pop in pre
Lithuania,0,0,0,No pop in pre
Madagascar,0,0,0,No pop in pre
Maldives,0,0,0,No pop in pre
Mali,0,0,0,No pop in pre
Mauritania,0,0,0,No pop in pre
Mongolia,0,0,0,No pop in pre
Montenegro,0,0,0,No pop in pre
Montserrat,0,0,0,No pop in pre
Mozambique,0,0,0,No pop in pre
Myanmar,0,0,0,No pop in pre
Namibia,0,0,0,No pop in pre
Nepal,0,0,0,No pop in pre
Niger,0,0,0,No pop in pre
North Macedonia,0,0,0,No pop in pre
Oman,0,0,0,No pop in pre
Poland,0,0,0,No pop in pre
Qatar,0,0,0,No pop in pre
Republic of Moldova,0,0,0,No pop in pre
Romania,0,0,0,No pop in pre
Russian Federation,0,0,0,No pop in pre
Rwanda,0,0,0,No pop in pre
Saint Kitts and Nevis,0,0,0,No pop in pre
Saint Lucia,0,0,0,No pop in pre
Sao Tome and Principe,0,0,0,No pop in pre
Saudi Arabia,0,0,0,No pop in pre
Senegal,0,0,0,No pop in pre
Serbia,0,0,0,No pop in pre
Seychelles,0,0,0,No pop in pre
Sierra Leone,0,0,0,No pop in pre
Singapore,0,0,0,No pop in pre
Sint Maarten (Dutch part),0,0,0,No pop in pre
Slovakia,0,0,0,No pop in pre
Slovenia,0,0,0,No pop in pre
St. Vincent & Grenadines,0,0,0,No pop in pre
State of Palestine,0,0,0,No pop in pre
Sudan,0,0,0,No pop in pre
Suriname,0,0,0,No pop in pre
Syrian Arab Republic,0,0,0,No pop in pre
Tajikistan,0,0,0,No pop in pre
Togo,0,0,0,No pop in pre
Tunisia,0,0,0,No pop in pre
Turkmenistan,0,0,0,No pop in pre
Turks and Caicos Islands,0,0,0,No pop in pre
U.R. of Tanzania: Mainland,0,0,0,No pop in pre
Ukraine,0,0,0,No pop in pre
United Arab Emirates,0,0,0,No pop in pre
Uzbekistan,0,0,0,No pop in pre
Viet Nam,0,0,0,No pop in pre
Yemen,0,0,0,No pop in pre
