year,n_countries,na_pop,na_hc,na_gdpcap,na_csh_c,na_csh_i,na_csh_g,na_csh_x,na_csh_m,na_rknacapita,na_region,na_n_countries,na_share_pop,na_share_hc,na_share_gdpcap,na_share_csh_c,na_share_csh_i,na_share_csh_g,na_share_csh_x,na_share_csh_m,na_share_rknacapita,na_share_region,na_share_n_countries,na_share_na_pop,na_share_na_hc,na_share_na_gdpcap,na_share_na_csh_c,na_share_na_csh_i,na_share_na_csh_g,na_share_na_csh_x,na_share_na_csh_m,na_share_na_rknacapita,na_share_na_region,na_share_na_n_countries
1950,37,2,2,2,2,2,2,2,2,2,0,0,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,37,1,1,1,1,1,1,1,1,1,0,0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
