year;n_countries;na_pop;na_hc;na_gdpcap;na_csh_c;na_csh_i;na_csh_g;na_csh_x;na_csh_m;na_rknacapita;na_region;na_n_countries;na_share_pop;na_share_hc;na_share_gdpcap;na_share_csh_c;na_share_csh_i;na_share_csh_g;na_share_csh_x;na_share_csh_m;na_share_rknacapita;na_share_region;na_share_n_countries;na_share_na_pop;na_share_na_hc;na_share_na_gdpcap;na_share_na_csh_c;na_share_na_csh_i;na_share_na_csh_g;na_share_na_csh_x;na_share_na_csh_m;na_share_na_rknacapita;na_share_na_region;na_share_na_n_countries
1950;35;2;2;2;2;2;2;2;2;2;0;0;5,71429E+15;5,71429E+15;5,71429E+15;5,71429E+15;5,71429E+15;5,71429E+15;5,71429E+15;5,71429E+15;5,71429E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1951;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1952;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1953;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1954;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1955;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1956;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1957;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1958;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1959;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1960;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1962;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1963;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1964;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1965;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1966;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1967;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1968;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1969;35;1;1;1;1;1;1;1;1;1;0;0;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;2,85714E+15;0;0;0;0;0;0;0;0;0;0;0;0;0
1970;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1971;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1972;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1973;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1974;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1975;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
