Predictor,Spain,Synthetic Spain,Sample
pop.mean.1950.1959,29.1444,10.2009,13.8466
hc.mean.1950.1959,1.884,1.7126,1.9184
gdpcap.mean.1950.1959,7622.1257,7619.9589,10720.8182
gdpcap_1950.mean.1950.1950,5770.8605,6027.2635,9383.2818
gdpcap_1955.mean.1955.1955,7876.8832,7933.6908,10998.3708
gdpcap_1959.mean.1959.1959,8682.8433,8850.8487,11975.2274
csh_c.mean.1950.1959,0.7563,0.7109,0.6811
csh_i.mean.1950.1959,0.1679,0.1679,0.2337
csh_g.mean.1950.1959,0.093,0.0786,0.1196
csh_x.mean.1950.1959,0.0168,0.0994,0.1478
csh_m.mean.1950.1959,-0.039,-0.0888,-0.185
rknacapita.mean.1950.1959,30923.1198,23447.3756,41002.177
