Predictor,Spain,Synthetic Spain,Sample,diff_synth,diff_sample,improvement_pct
pop.mean.1950.1959,29.1444,10.2009,13.8466,18.9435,15.2978,-23.8314
hc.mean.1950.1959,1.884,1.7126,1.9184,0.1715,-0.0343,-399.3951
gdpcap.mean.1950.1959,7622.1257,7619.9589,10720.8182,2.1667,-3098.6925,99.9301
gdpcap_1950.mean.1950.1950,5770.8605,6027.2635,9383.2818,-256.403,-3612.4213,92.9022
gdpcap_1955.mean.1955.1955,7876.8832,7933.6908,10998.3708,-56.8076,-3121.4876,98.1801
gdpcap_1959.mean.1959.1959,8682.8433,8850.8487,11975.2274,-168.0054,-3292.3841,94.8972
csh_c.mean.1950.1959,0.7563,0.7109,0.6811,0.0454,0.0752,39.6228
csh_i.mean.1950.1959,0.1679,0.1679,0.2337,-0,-0.0658,99.9992
csh_g.mean.1950.1959,0.093,0.0786,0.1196,0.0144,-0.0265,45.7259
csh_x.mean.1950.1959,0.0168,0.0994,0.1478,-0.0826,-0.131,36.9493
csh_m.mean.1950.1959,-0.039,-0.0888,-0.185,0.0498,0.146,65.8899
rknacapita.mean.1950.1959,30923.1198,23447.3756,41002.177,7475.7443,-10079.0571,25.8289
