year,Spain,Western_Europe,Share
1874-01-01,2621,4086.6815051379403,0.6413516680232539
1875-01-01,2694,4137.666503324767,0.6510916232217536
1876-01-01,2776,4036.9834284391914,0.6876421588565396
1877-01-01,3078,4042.3972793451644,0.7614293666105503
1878-01-01,2952,4079.5034960769635,0.7236174703217628
1879-01-01,2741,3985.2525961253173,0.6877857636087991
1880-01-01,2982,4090.8241229601185,0.7289484735516388
1881-01-01,3003,4186.858118176154,0.7172442712981503
1882-01-01,3014,4264.931959351082,0.7066935718380338
1883-01-01,3056,4339.053130899348,0.7043011246480377
1884-01-01,3065,4351.872920669632,0.7042944626076953
1885-01-01,2950,4367.531077078744,0.6754388115248695
1886-01-01,2881,4407.346572361263,0.6536812916113577
1887-01-01,2818,4506.56113564341,0.6253105006635329
1888-01-01,2929,4594.844019849581,0.6374536300572582
1889-01-01,2921,4668.842073198826,0.6256369254312122
1890-01-01,2914,4719.038413248682,0.6174986818964974
1891-01-01,2969,4704.700425093652,0.6310709995824866
1892-01-01,3218,4736.2188193897955,0.6794449586716098
1893-01-01,3080,4804.868595917514,0.6410164895283382
1894-01-01,3115,4937.213759977884,0.6309226522154782
1895-01-01,3062,5017.6811608397775,0.6102420424592169
1896-01-01,2758,5161.787343406447,0.5343110470296705
1897-01-01,2921,5180.79778413324,0.5638127797510032
1898-01-01,3109,5332.12352784363,0.5830697626874587
1899-01-01,3119,5474.3043146058935,0.5697527614017094
1900-01-01,3166,5506.409427354384,0.5749663263817889
1901-01-01,3413,5425.426354254042,0.629074984553774
1902-01-01,3241,5483.9538611243715,0.5909969489304747
1903-01-01,3209,5544.546858655412,0.5787668644175195
1904-01-01,3148,5622.009784039082,0.5599421062797134
1905-01-01,3102,5712.254549028543,0.5430430267725977
1906-01-01,3283,5842.625423286161,0.5619049249529828
1907-01-01,3346,5972.130281597445,0.5602690902960343
1908-01-01,3451,5910.878405460038,0.5838387737450694
1909-01-01,3523,5998.319007331719,0.5873312165781533
