country,n_pop,n_gdpcap,n_hc,n_csh_c,n_csh_i,n_csh_g,n_csh_x,n_csh_m,n_rknacapita
Albania,0,0,0,0,0,0,0,0,0
Argentina,10,10,10,10,10,10,10,10,10
Austria,10,10,10,10,10,10,10,10,10
Belgium,10,10,10,10,10,10,10,10,10
Brazil,10,10,10,10,10,10,10,10,10
Canada,10,10,10,10,10,10,10,10,10
Chile,9,9,9,9,9,9,9,9,9
Colombia,10,10,10,10,10,10,10,10,10
Costa Rica,10,10,10,10,10,10,10,10,10
Cyprus,10,10,10,10,10,10,10,10,10
Denmark,10,10,10,10,10,10,10,10,10
Ecuador,10,10,10,10,10,10,10,10,10
El Salvador,10,10,10,10,10,10,10,10,10
Finland,10,10,10,10,10,10,10,10,10
France,10,10,10,10,10,10,10,10,10
Germany,10,10,10,10,10,10,10,10,10
Guatemala,10,10,10,10,10,10,10,10,10
Honduras,10,10,10,10,10,10,10,10,10
Iceland,10,10,10,10,10,10,10,10,10
Ireland,10,10,10,10,10,10,10,10,10
Italy,10,10,10,10,10,10,10,10,10
Luxembourg,10,10,10,10,10,10,10,10,10
Mexico,10,10,10,10,10,10,10,10,10
Netherlands,10,10,10,10,10,10,10,10,10
Nicaragua,10,10,10,10,10,10,10,10,10
Norway,10,10,10,10,10,10,10,10,10
Panama,10,10,10,10,10,10,10,10,10
Peru,10,10,10,10,10,10,10,10,10
Portugal,10,10,10,10,10,10,10,10,10
Spain,10,10,10,10,10,10,10,10,10
Sweden,10,10,10,10,10,10,10,10,10
Switzerland,10,10,10,10,10,10,10,10,10
Trinidad and Tobago,10,10,10,10,10,10,10,10,10
United Kingdom,10,10,10,10,10,10,10,10,10
Uruguay,10,10,10,10,10,10,10,10,10
